run,run_id,weight_initial,weight_boundary,weight_residual,batch_size,final_train_loss,final_val_loss,final_train_l2,final_val_l2,duration_minutes,timestamp,learning_rate,epochs,hidden_layers,hidden_neurons,activation
1,128698e1086241b18203d900a6be6c23,1,1,1,1024,0.010765301738865673,,0.43146049976348877,,10.21925105,2025-10-29T16:07:52.539268,0.001,500,5,100,tanh
2,61066bb54b6446c0b002a3dcc4e247c1,1,1,1,1024,0.03201122041791678,,1.0530493259429932,,10.22499305,2025-10-29T16:18:05.694402,0.0001,500,5,100,tanh
3,20a9009e753b49cb81e2d89e3ae9d769,1,1,1,1024,0.07500063925981522,,1.038360357284546,,10.253280883333334,2025-10-29T16:28:19.194067,1e-05,500,5,100,tanh
4,4f412f5641834f6883e9e680b0ac7110,1,1,1,1024,0.30789689123630526,,1.022782564163208,,10.343059016666666,2025-10-29T16:38:34.391004,1e-06,500,5,100,tanh
5,a07aee0ca4474e3b9fca25a703f6f8c9,1,1,1,512,0.006775072158779949,,0.4793907105922699,,13.939580983333334,2025-10-29T16:48:54.974629,0.001,500,5,100,tanh
6,99153a4544bb43eea27297d5ee9dec79,1,1,1,512,0.016165614128112793,,0.7770874500274658,,13.7660432,2025-10-29T17:02:51.349562,0.0001,500,5,100,tanh
7,3ae9c61712ca4ccdbf36bca6279dc99e,1,1,1,512,0.06462894184514881,,1.0599173307418823,,13.779560916666666,2025-10-29T17:16:37.312240,1e-05,500,5,100,tanh
8,f8781f1ff23f46a3baa997a100c811dc,1,1,1,512,0.15673732720315456,,0.9917377829551697,,13.801058066666666,2025-10-29T17:30:24.086009,1e-06,500,5,100,tanh
9,5dd4377837af4a30810b0d5706798760,1,1,5,1024,0.0396039292216301,,0.8480511903762817,,10.29532985,2025-10-29T17:44:12.149576,0.001,500,5,100,tanh
10,df50d2ad2b9e4750a3451e83819d1588,1,1,5,1024,0.10363966412842274,,1.1585264205932617,,10.2364446,2025-10-29T17:54:29.869469,0.0001,500,5,100,tanh
11,ee40a51d28f8490d812f8b5cda78b0ed,1,1,5,1024,0.16915074735879898,,1.0402545928955078,,10.255650133333335,2025-10-29T18:04:44.056266,1e-05,500,5,100,tanh
12,780f13340f0a476ba9a5307afe07dbf0,1,1,5,1024,0.42347589433193206,,0.990672767162323,,10.292111766666666,2025-10-29T18:14:59.395387,1e-06,500,5,100,tanh
13,99e1b9a509fa45efadad80113bdee124,1,1,5,512,0.034409587364643814,,0.7834335565567017,,13.80379815,2025-10-29T18:25:16.922193,0.001,500,5,100,tanh
14,e516c2522db5487798ec01c109fabfe7,1,1,5,512,0.07450072038918734,,1.14225435256958,,13.667316466666668,2025-10-29T18:39:05.150180,0.0001,500,5,100,tanh
15,5e8491fc17b8419ca210a6cafa021f2e,1,1,5,512,0.15612961910665035,,1.057605266571045,,13.788788133333332,2025-10-29T18:52:45.189277,1e-05,500,5,100,tanh
16,d5877a6b7c264a2ca73b3650f3b89c1b,1,1,5,512,0.24412972703576089,,0.9967286586761475,,13.5106819,2025-10-29T19:06:32.516651,1e-06,500,5,100,tanh
17,e90cd087fa5841c2bb37c01b8d9b9def,5,1,1,1024,0.03451691253576428,,0.4107997715473175,,9.800723816666666,2025-10-29T19:20:03.157651,0.001,500,5,100,tanh
18,be245cd9f2c24374bd5e7a1c5cc381ed,5,1,1,1024,0.04261338766664267,,1.028205156326294,,9.785746283333333,2025-10-29T19:29:51.201173,0.0001,500,5,100,tanh
19,23600f5a95e449e8b64758c5b21ef2e3,5,1,1,1024,0.10592802464962006,,1.0267128944396973,,9.608644349999999,2025-10-29T19:39:38.346040,1e-05,500,5,100,tanh
20,ab52bd2bf2c34037ae10136ed38bb3f1,5,1,1,1024,0.8836408108472824,,1.042784571647644,,9.565582150000001,2025-10-29T19:49:14.864779,1e-06,500,5,100,tanh
21,493b949e299b4a05aa4212aefa37b243,5,1,1,512,0.007024448446463794,,0.4006776809692383,,12.90355035,2025-10-29T19:58:48.799788,0.001,500,5,100,tanh
22,c661be0b18684d63beca962eaa6ba29f,5,1,1,512,0.019068829738534986,,0.7450742125511169,,12.879559366666665,2025-10-29T20:11:43.012895,0.0001,500,5,100,tanh
23,5774c14ec410453e8411959d18a72130,5,1,1,512,0.08652518913149834,,1.0491939783096313,,13.015799233333333,2025-10-29T20:24:35.786551,1e-05,500,5,100,tanh
24,ac8da29e0fa344bc91d9b8b116f0de9e,5,1,1,512,0.3320520959794521,,1.0046944618225098,,12.894346500000001,2025-10-29T20:37:36.734590,1e-06,500,5,100,tanh
25,39cc921d56a341908eec77d18c299c6d,5,1,5,1024,0.045525120384991166,,0.474530965089798,,9.556142883333333,2025-10-29T20:50:30.395457,0.001,500,5,100,tanh
26,d5000014883b4f69ad7f495febf1a303,5,1,5,1024,0.16376054137945176,,1.0548274517059326,,9.997066433333334,2025-10-29T21:00:03.764115,0.0001,500,5,100,tanh
27,53b9acc49e774c7482a7290aae37a5db,5,1,5,1024,0.35660600662231445,,1.0431582927703857,,9.648509149999999,2025-10-29T21:10:03.588191,1e-05,500,5,100,tanh
28,ace52ed790444f67931152f730de6cf6,5,1,5,1024,1.2939489126205443,,1.0217043161392212,,9.60460715,2025-10-29T21:19:42.498835,1e-06,500,5,100,tanh
29,43986ad5bdee4107a71a7052d505b1b6,5,1,5,512,0.03675458626821637,,0.5068623423576355,,13.071676616666668,2025-10-29T21:29:18.775380,0.001,500,5,100,tanh
30,f1652cc37f824fdea47a4edbfae029e5,5,1,5,512,0.09365559630095958,,0.8512254953384399,,13.009731116666668,2025-10-29T21:42:23.076057,0.0001,500,5,100,tanh
31,33b0016625e04bf996516d1dbe347504,5,1,5,512,0.3186911799013615,,1.0619157552719116,,12.94146005,2025-10-29T21:55:23.660013,1e-05,500,5,100,tanh
32,7ec64b0d83a6456ba1bde6a9b081b448,5,1,5,512,0.7219464838504791,,0.9998833537101746,,13.292646249999999,2025-10-29T22:08:20.147692,1e-06,500,5,100,tanh
